dsc_cidade,nota,data_ref
"Oliveira de Fátima","6.9824654135441","2011-12-31"
"Cedro de São João","10","2011-12-31"
"Santa Cecília","10","2011-12-31"
"Cabeceiras","5.82297906835988","2011-12-31"
"Capetinga","9.09136169780248","2011-12-31"
"Cajobi","6.67646234076434","2011-12-31"
"Sete Barras","10","2011-12-31"
"Santa Rita","6.96283036001023","2011-12-31"
"Quipapá","6.70295621441562","2011-12-31"
"Bujaru","6.41336185074409","2011-12-31"
"Nacip Raydan","10","2011-12-31"
"Feira de Santana","10","2011-12-31"
"Miradouro","6.75276193669388","2011-12-31"
"Sinop","10","2011-12-31"
"Relvado","9.38472875654283","2011-12-31"
"São Roque do Canaã","10","2011-12-31"
"Nova Cantu","5.47972452681662","2011-12-31"
"Santa Mercedes","10","2011-12-31"
"Santo Anastácio","5.94474660977784","2011-12-31"
"Mandaguari","10","2011-12-31"
"Lamarão","6.68874503333761","2011-12-31"
"Porto Seguro","10","2011-12-31"
"Cristalândia do Piauí","5.82549045812947","2011-12-31"
"Dores de Guanhães","8.56838232301082","2011-12-31"
"Barra de São Miguel","10","2011-12-31"
"Imigrante","10","2011-12-31"
"Vacaria","8.77281885267015","2011-12-31"
"Vila Boa","6.08866304154595","2011-12-31"
"Marialva","5.67076149091517","2011-12-31"
"Itaueira","6.95726029662099","2011-12-31"
"Vieirópolis","6.15026880735548","2011-12-31"
"São Bernardino","8.62583779135262","2011-12-31"
"Jupiá","10","2011-12-31"
"Manfrinópolis","10","2011-12-31"
"Nova Iguaçu de Goiás","9.60138279366303","2011-12-31"
"Leme do Prado","5.44058234657052","2011-12-31"
"Aporé","5.9312378278103","2011-12-31"
"Massaranduba","10","2011-12-31"
"Conquista","7.73539781378395","2011-12-31"
"Abaré","6.89666667424165","2011-12-31"
"Vila Flores","10","2011-12-31"
"Bela Vista","9.89988652850744","2011-12-31"
"Santa Maria da Serra","10","2011-12-31"
"Santa Maria","8.32430946596385","2011-12-31"
"Coqueiro Seco","10","2011-12-31"
"São José da Bela Vista","10","2011-12-31"
"Maetinga","7.32439478985104","2011-12-31"
"João Câmara","8.23353984804197","2011-12-31"
"Governador Nunes Freire","8.19205910428614","2011-12-31"
"Sengés","9.27125193385793","2011-12-31"
"Joaçaba","10","2011-12-31"
"Fernandópolis","10","2011-12-31"
"Botuporã","5.47343826859007","2011-12-31"
"Regeneração","6.73178688696191","2011-12-31"
"Júlio Mesquita","10","2011-12-31"
"Mostardas","8.8120858675183","2011-12-31"
"Canápolis","4.99060016385709","2011-12-31"
"Maracaí","8.31862639195258","2011-12-31"
"Benjamin Constant","10","2011-12-31"
"Peritoró","7.6526741303849","2011-12-31"
"Caaporã","5.59551457823571","2011-12-31"
"Barretos","10","2011-12-31"
"Palestina","9.75587670769876","2011-12-31"
"Luís Antônio","10","2011-12-31"
"Roncador","5.92642914848698","2011-12-31"
"São Pedro do Sul","10","2011-12-31"
"Barra do Corda","6.87678735329899","2011-12-31"
"Candeias","10","2011-12-31"
"Bom Sucesso","7.35879501953052","2011-12-31"
"Baliza","6.05933379574111","2011-12-31"
"Coromandel","10","2011-12-31"
"Serra dos Aimorés","7.64726649570517","2011-12-31"
"São Domingos do Sul","10","2011-12-31"
"Corumbiara","6.02187092366295","2011-12-31"
"Jucati","10","2011-12-31"
"Guarapuava","9.04999648455267","2011-12-31"
"União de Minas","4.43895660189804","2011-12-31"
"São Francisco de Paula","6.0322008812831","2011-12-31"
"Timon","5.90506709542073","2011-12-31"
"Penaforte","6.02342745281851","2011-12-31"
"Paranatinga","8.77406814763186","2011-12-31"
"Monte Alegre do Sul","10","2011-12-31"
"Trairi","9.6515089574348","2011-12-31"
"Tejuçuoca","10","2011-12-31"
"Capela do Alto Alegre","5.96016915217521","2011-12-31"
"Candeias do Jamari","10","2011-12-31"
"Bacabal","7.20788317968505","2011-12-31"
"Inhapim","7.49823282086168","2011-12-31"
"Queimada Nova","5.33992688309507","2011-12-31"
"Goioerê","8.01331509967988","2011-12-31"
"Sede Nova","7.85196066659162","2011-12-31"
"Ribeirão Claro","6.22601233842253","2011-12-31"
"Rio dos Índios","7.52542114156084","2011-12-31"
"Guarujá do Sul","10","2011-12-31"
"São Pedro do Paraná","6.79227988719719","2011-12-31"
"Ibirapitanga","4.84258642449353","2011-12-31"
"Marcação","6.47966232167948","2011-12-31"
