"dsc_cidade","populacao"
"Porto Alegre do Tocantins (TO)","3170"
"Porto Nacional (TO)","53316"
"Praia Norte (TO)","8498"
"Presidente Kennedy (TO)","3676"
"Pugmil (TO)","2717"
"Recursolândia (TO)","4342"
"Riachinho (TO)","4684"
"Rio da Conceição (TO)","2171"
"Rio dos Bois (TO)","2856"
"Rio Sono (TO)","6488"
"Sampaio (TO)","4794"
"Sandolândia (TO)","3373"
"Santa Fé do Araguaia (TO)","7595"
"Santa Maria do Tocantins (TO)","3486"
"Santa Rita do Tocantins (TO)","2386"
"Santa Rosa do Tocantins (TO)","4846"
"Santa Tereza do Tocantins (TO)","2897"
"Santa Terezinha do Tocantins (TO)","2530"
"São Bento do Tocantins (TO)","5391"
"São Félix do Tocantins (TO)","1598"
"São Miguel do Tocantins (TO)","12294"
"São Salvador do Tocantins (TO)","3094"
"São Sebastião do Tocantins (TO)","4852"
"São Valério (TO)","3904"
"Silvanópolis (TO)","5428"
"Sítio Novo do Tocantins (TO)","8997"
"Sucupira (TO)","1986"
"Taguatinga (TO)","16825"
"Taipas do Tocantins (TO)","2166"
"Talismã (TO)","2812"
"Palmas (TO)","306296"
"Tocantínia (TO)","7617"
"Tocantinópolis (TO)","22845"
"Tupirama (TO)","1922"
"Tupiratins (TO)","2729"
"Wanderlândia (TO)","11734"
"Xambioá (TO)","11520"
"Açailândia (MA)","113121"
"Afonso Cunha (MA)","6578"
"Água Doce do Maranhão (MA)","12652"
"Alcântara (MA)","22112"
"Aldeias Altas (MA)","26757"
"Altamira do Maranhão (MA)","8189"
"Alto Alegre do Maranhão (MA)","27858"
"Alto Alegre do Pindaré (MA)","31943"
"Alto Parnaíba (MA)","11212"
"Amapá do Maranhão (MA)","7005"
"Amarante do Maranhão (MA)","41729"
"Anajatuba (MA)","26988"
"Anapurus (MA)","15894"
"Apicum-Açu (MA)","17413"
"Araguanã (MA)","15551"
"Araioses (MA)","46771"
"Arame (MA)","32764"
"Arari (MA)","29932"
"Axixá (MA)","12183"
"Bacabal (MA)","104790"
"Bacabeira (MA)","17252"
"Bacuri (MA)","18654"
"Bacurituba (MA)","5670"
"Balsas (MA)","95929"
"Barão de Grajaú (MA)","18924"
"Barra do Corda (MA)","88492"
"Barreirinhas (MA)","63217"
"Belágua (MA)","7528"
"Bela Vista do Maranhão (MA)","11279"
"Benedito Leite (MA)","5638"
"Bequimão (MA)","21299"
"Bernardo do Mearim (MA)","6073"
"Boa Vista do Gurupi (MA)","8382"
"Bom Jardim (MA)","41822"
"Bom Jesus das Selvas (MA)","34567"
"Bom Lugar (MA)","16438"
"Brejo (MA)","36651"
"Brejo de Areia (MA)","9014"
"Buriti (MA)","28798"
"Buriti Bravo (MA)","23939"
"Buriticupu (MA)","72983"
"Buritirana (MA)","15467"
"Cachoeira Grande (MA)","9478"
"Cajapió (MA)","11216"
"Cajari (MA)","19451"
"Campestre do Maranhão (MA)","14453"
"Cândido Mendes (MA)","20278"
"Cantanhede (MA)","22117"
"Capinzal do Norte (MA)","10935"
"Carolina (MA)","24165"
"Carutapera (MA)","23952"
"Caxias (MA)","165525"
